[descriptive data]				
title	US 4,448,497 Example 2			
[variable distances]				
Focal Length	100			
Angle of View	46			
F-Number	1.4			
Image Height	86.53			
Total Length	81.783			
Magnification	0			
d0	Infinity			
Bf	74.1			
[lens data]				
1	83.064	9.3023	1.84042	76
2	449.017	0.1938		76
3	51.831	9.1085	1.84042	64
4	75.384	2.907		62
5	135.659	2.3256	1.69895	60
6	35.592	16.0698		51
7	AS	13		49.6
8	-35.368	2.1318	1.74077	48.8
9	-3875.969	12.9845	1.77279	57
10	-57.484	0.3876		60
11	-180.589	8.5271	1.80411	66.8
12	-62.298	0.1938		67.8
13	253.62	4.6512	1.84042	66
14	-533.651	Bf		66
[figure]				
source	Nikon/US004448497/Figure02.png			
ppmm	9.659709231			
originX	405			
originY	599			
